id,cleaning_fee,price,bedrooms,beds,bathrooms,personCapacity,reviewsCount,isSuperhost,avgRating,lat,lng
22175591,4,10,19.0,3.0,1.0,16,0,False,,4.60969,-74.09651
22175591,4,10,19.0,3.0,1.0,16,0,False,,4.60969,-74.09651
39341212,0,15,1.0,1.0,0.0,1,0,True,,4.56531,-74.18175
7783076,10,10,1.0,2.0,1.0,3,4,False,3.25,4.6572,-74.07255
44021996,0,16,1.0,1.0,1.0,2,0,False,,4.62784,-74.06791
38973091,5,14,3.0,3.0,2.0,4,2,False,,4.66401,-74.13281
39108788,0,13,2.0,2.0,1.0,4,3,False,5.0,4.75077,-74.08788
42197255,0,15,1.0,1.0,1.0,3,4,False,4.67,4.73774,-74.07089
11969763,10,10,2.0,5.0,1.5,7,4,False,3.67,4.66405,-74.06903
42506209,5,13,1.0,3.0,1.0,2,0,False,,4.68349,-74.08383
40483797,0,10,5.0,5.0,3.0,6,0,False,,4.7108,-74.22202
42527695,5,10,1.0,1.0,1.5,2,1,False,,4.72133,-74.0444
36833332,0,15,1.0,2.0,1.0,2,0,False,,4.6787,-74.1447
39173079,0,10,1.0,1.0,1.5,1,0,False,,4.65874,-74.07174
40718182,7,15,1.0,1.0,1.0,3,3,False,4.67,4.65457,-74.07124
4935140,17,13,1.0,1.0,1.0,7,9,False,4.63,4.71917,-74.03415
35742024,13,13,0.0,3.0,1.0,6,4,False,4.5,4.58974,-74.07933
27310748,0,10,1.0,1.0,1.0,1,0,False,,4.7153,-74.11668
39481924,0,10,2.0,3.0,1.0,4,0,False,,4.7223,-74.13374
37055519,0,10,1.0,1.0,1.0,1,1,False,,4.74891,-74.06389
15343474,5,10,3.0,3.0,2.0,5,2,False,,4.71691,-74.20971
22928337,0,14,3.0,5.0,1.0,6,15,False,4.87,4.6535,-74.10103
26842980,11,13,2.0,2.0,1.0,3,2,False,,4.75676,-74.1013
41592681,0,9,1.0,1.0,1.0,1,1,False,,4.70638,-74.10732
32107556,15,15,3.0,3.0,2.0,2,0,False,,4.58617,-74.19751
42073667,0,13,1.0,1.0,1.0,1,0,False,,4.70327,-74.0955
40940211,7,14,1.0,1.0,1.0,2,0,False,,4.59022,-74.07913
34648474,0,9,1.0,1.0,1.0,1,1,False,,4.66733,-74.13694
42377177,0,13,1.0,1.0,1.0,1,0,False,,4.70283,-74.09703
14169060,0,10,1.0,1.0,1.0,1,1,False,,4.60454,-74.07361
42565783,0,10,1.0,1.0,1.0,1,0,False,,4.57971,-74.11166
19314558,0,13,3.0,3.0,1.0,4,0,False,,4.63963,-74.18757
42255358,13,13,1.0,2.0,1.0,4,0,False,,4.58864,-74.09396
42267509,0,11,1.0,,0.5,2,0,False,,4.64623,-74.1592
27104269,0,10,3.0,3.0,1.0,4,0,False,,4.57931,-74.21962
29613558,0,11,10.0,15.0,5.0,1,0,False,,4.61035,-74.09818
29127218,0,14,1.0,1.0,1.0,1,0,False,,4.60651,-74.21249
42539043,8,12,2.0,2.0,1.0,3,0,True,,4.52594,-74.0894
39339782,0,13,1.0,1.0,1.0,2,2,False,,4.76662,-74.02839
31318122,0,10,1.0,0.0,2.0,1,1,False,,4.64292,-74.15005
38682499,0,9,1.0,1.0,1.5,1,0,False,,4.65278,-74.15312
36979434,18,18,2.0,2.0,2.0,6,67,False,4.84,4.64459,-74.0711
44281991,8,19,1.0,2.0,1.0,4,2,False,,4.72246,-74.04161
34352825,0,19,1.0,2.0,1.0,2,51,True,4.92,4.59649,-74.17272
21634111,0,19,1.0,1.0,1.5,3,154,False,4.64,4.59547,-74.07067
44489886,8,18,1.0,2.0,1.0,4,0,False,,4.62624,-74.07174
24430460,8,19,1.0,1.0,1.0,2,93,True,4.84,4.64297,-74.0666
30859544,0,18,0.0,1.0,1.0,2,57,False,4.68,4.62698,-74.06526
23559551,5,17,1.0,1.0,1.0,2,160,False,4.73,4.59458,-74.0724
19824400,6,17,1.0,1.0,1.0,2,56,False,4.63,4.6459,-74.05973
30863373,16,19,1.0,1.0,1.0,3,15,False,4.87,4.6832,-74.04546
35162438,0,17,1.0,1.0,1.0,2,75,True,4.93,4.703,-74.09698
16164993,8,17,1.0,1.0,1.0,2,215,False,4.71,4.60386,-74.06888
26452933,11,17,1.0,1.0,1.0,2,42,True,4.83,4.72745,-74.04219
30876542,8,18,1.0,1.0,1.0,4,53,False,4.71,4.64071,-74.07148
26381371,0,19,1.0,1.0,1.0,3,117,False,4.67,4.59896,-74.06784
19909833,18,18,1.0,2.0,1.0,3,63,True,4.84,4.64949,-74.08778
37721323,13,19,2.0,4.0,2.0,4,16,True,4.94,4.67156,-74.12319
43895832,11,19,1.0,2.0,1.0,3,2,False,,4.62554,-74.08397
18450574,21,17,1.0,1.0,1.0,2,20,False,4.89,4.72769,-74.04955
